TitleVideo,Link,View,Date,Thumb
SOFM PHÂN TÍCH T1 vs WBG - GIAO TRANH QUÁ MÃN NHÃN XỨNG ĐÁNG KÌ CHUNG KẾT TRONG MƠ | SOFM,https://www.youtube.com/watch?v=fByJ-X4LoCw,177K views,1 year ago,https://i.ytimg.com/vi/fByJ-X4LoCw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJ4PBlupO5oDZiiuSWMmDLSbJvNA
PHÂN TÍCH ĐỐI THỦ CỦA T1 ? - TRẬN CHUNG KẾT TRONG MƠ | SOFM CKTG 2023,https://www.youtube.com/watch?v=zLpnPwA3xtg,86K views,1 year ago,https://i.ytimg.com/vi/zLpnPwA3xtg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1lk5wc1RJMOKzx0DOHiBv6oZSRg
SOFM PHÂN TÍCH T1 vs JDG - TRẬN ĐẤU CỦA NHỮNG NGÔI SAO | SOFM CKTG 2023,https://www.youtube.com/watch?v=Uf9fQZOOd7I,325K views,1 year ago,https://i.ytimg.com/vi/Uf9fQZOOd7I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBLdeaXtwvTPjWDtrz8WXQXnmlPA
SOFM PHÂN TÍCH T1 VS LNG - HÀO QUANG NHÂN VẬT CHÍNH - TẬP 1 | SOFM,https://www.youtube.com/watch?v=9eobh6IMSuI,273K views,1 year ago,https://i.ytimg.com/vi/9eobh6IMSuI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4eYLT-rSBmnZ-RCnfa-uyLiTC9g
SOFM HỦY DIỆT CUSTOM CỦA THẦY BA - CÁCH ĐỂ TRỪ MID NGAY TỪ LEVEL 1 ? | SOFM CUSTOM,https://www.youtube.com/watch?v=6B13lGH1PIQ,174K views,1 year ago,https://i.ytimg.com/vi/6B13lGH1PIQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhEr8YqU10AtLK27MWwZGCE35X_w
SOFM PHÂN TÍCH T1 VS BLG - CUỘC ĐỤNG ĐỘ CỦA NHỮNG GÃ TAY TO | SOFM CKTG 2023,https://www.youtube.com/watch?v=Kz1bkQBayeQ,229K views,1 year ago,https://i.ytimg.com/vi/Kz1bkQBayeQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQZn_mh2VVVf9p66ana7yEywJbXA
SOFM PHÂN TÍCH GAM VS DK - CUỘC ĐỐI ĐẦU VỚI NHÀ VÔ ĐỊCH CKTG | SOFM CKTG 2023,https://www.youtube.com/watch?v=UPuADsaBHy0,37K views,1 year ago,https://i.ytimg.com/vi/UPuADsaBHy0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpR2UclRQ1T3sLLngFdOGxfbhqHw
SOFM PHÂN TÍCH GAM VS TL - CHÚC MỪNG CHIẾN THẮNG BÙNG NỔ CỦA GAM | SOFM CKTG 2023,https://www.youtube.com/watch?v=tkbdgpNVRhA,141K views,1 year ago,https://i.ytimg.com/vi/tkbdgpNVRhA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjtCBCJbbB8FVEZA25MK1oH_XuFg
SOFM PHÂN TÍCH T1 vs GEN G - TÁI HIỆN CHUNG KẾT LCK - CKTG VÒNG THỤY SĨ | SOFM,https://www.youtube.com/watch?v=bm5AWgw-hhk,101K views,1 year ago,https://i.ytimg.com/vi/bm5AWgw-hhk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVBUWYRvVvbtkeUHf2iDDUvsuPQA
SOFM PHÂN TÍCH GAM vs GEN G - LIỀU THUỐC THỬ HẠNG NẶNG DÀNH CHO ĐẠI DIỆN VCS - GAM CỐ LÊN | SOFM,https://www.youtube.com/watch?v=IJx3t5dzmJM,81K views,1 year ago,https://i.ytimg.com/vi/IJx3t5dzmJM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD54ya4CuXUdmqKICGlGYVbtyNxVw
SOFM SẤY CỰC GẮT SAU ĐẠI CHIẾN VCS TẠI CKTG 2023 - NHỮNG SAI LẦM CỐ HỮU VẪN CHƯA SỬA ĐƯỢC ? | SOFM,https://www.youtube.com/watch?v=M-N_6RAig0M,192K views,1 year ago,https://i.ytimg.com/vi/M-N_6RAig0M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCiZZNUktTwqjtto4gAJj_UJth3-A
SOFM LEESIN PHÁ ĐẢO RANK HÀN - HÀNH TRÌNH LEO RANK SEVER HÀN QUỐC | SOFM DAILY STREAM,https://www.youtube.com/watch?v=aeYlda9FI8I,114K views,1 year ago,https://i.ytimg.com/vi/aeYlda9FI8I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDojj5K9NIjP7exMlqZKbssw4NkeQ
"SOFM TRỞ LẠI KHU RỪNG VỚI VIEGO ""OUT TRÌNH"" - CHILL CHILL RANK HÀN CÙNG DUY | SOFM DAILY STREAM",https://www.youtube.com/watch?v=kjQVsUuokwQ,181K views,1 year ago,https://i.ytimg.com/vi/kjQVsUuokwQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDu3Gx82bOjAaNUVN15bcrkqM02IQ
SOFM COMEBACK RANK HÀN - CHÁO QUẨY LEESIN DANH BẤT HƯ TRUYỀN | SOFM DAILY STREAM,https://www.youtube.com/watch?v=_p-bbsidtBY,198K views,1 year ago,https://i.ytimg.com/vi/_p-bbsidtBY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-zlF-SZtyep8uusylTS_zwg4UlA
SOFM COMEBACK RANK VIỆT - ĐẶC SẢN XIN LANE QUEN THUỘC VÀ CÁI KẾT BẤT NGỜ | SOFM DAILY STREAM,https://www.youtube.com/watch?v=G-UoHiDZ_og,64K views,1 year ago,https://i.ytimg.com/vi/G-UoHiDZ_og/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLASb9KhYmUgrQWwInysbihcyESSEg
CUỘC CHIẾN KHÔNG CÂN SỨC GIỮA Á QUÂN CKTG SOFM VÀ THẦY GIÁO BA - SỰ CỐ GẮNG CỦA ANH EM TAM KÊ | SOFM,https://www.youtube.com/watch?v=OUvyjoUTmyY,140K views,1 year ago,https://i.ytimg.com/vi/OUvyjoUTmyY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY1RYDxMm0QSNDAqpB92Y0uJVkZQ
